clusterid,queryID,class,gene,allele,seqID,accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class,CARD_class,ARO_class
1,aac(2')-Ia,AGly,AAC(2'),aac(2')-Ia,1,NG_047226.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ib,AGly,AAC(2'),aac(2')-Ib,2,NG_047227.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ic,AGly,AAC(2'),aac(2')-Ic,3,NG_047229.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Id,AGly,AAC(2'),aac(2')-Id,4,NG_047230.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ie,AGly,AAC(2'),aac(2')-Ie,5,NG_050581.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-IIa,AGly,AAC(2'),aac(2')-IIa,6,NG_047225.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-IIb,AGly,AAC(2'),aac(2')-IIb,7,NG_055672.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ia,AGly,AAC(3),aac(3)-Ia,8,NG_056001.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib,AGly,AAC(3),aac(3)-Ib,9,P034755.1:29134-29664,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ic,AGly,AAC(3),aac(3)-Ic,10,NG_048568.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Id,AGly,AAC(3),aac(3)-Id,11,NG_048569.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIa.v1,AGly,AAC(3),aac(3)-IIa.v1,12,NG_047244.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIa.v2,AGly,AAC(3),aac(3)-IIa.v2,13,NG_047245.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIb,AGly,AAC(3),aac(3)-IIb,14,NG_047249.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIc,AGly,AAC(3),aac(3)-IIc,15,NG_047250.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IId,AGly,AAC(3),aac(3)-IId,16,EU022314.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIe,AGly,AAC(3),aac(3)-IIe,17,NG_047252.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIIa,AGly,AAC(3),aac(3)-IIIa,18,NG_047241.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIIb,AGly,AAC(3),aac(3)-IIIb,19,NG_051746.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIIc,AGly,AAC(3),aac(3)-IIIc,20,NG_047243.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IV,AGly,AAC(3),aac(3)-IV,21,NG_047253.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IXa,AGly,AAC(3),aac(3)-IXa,22,NG_047255.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIa,AGly,AAC(3),aac(3)-VIa,23,NG_047262.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIIa,AGly,AAC(3),aac(3)-VIIa,24,NG_047261.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-VIIIa,AGly,AAC(3),aac(3)-VIIIa,25,NG_048574.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Xa,AGly,AAC(3),aac(3)-Xa,26,NG_047263.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib/aac(6')-Ib'',AGly,AAC(3);AAC(6'),aac(3)-Ib/aac(6')-Ib'',27,NG_047210.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIg,AGly,AAC(3),aac(3)-IIg,2435,NG_047231.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IVb,AGly,AAC(3),aac(3)-IVb,2436,NG_070718.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-I,AGly,AAC(3),aac(3)-I,3485,NG_047237.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ia.v1,AGly,AAC(3),aac(3)-Ia.v1,3487,NG_047234.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
